# base euler_x28: t0 = 0.002208111515, T = 0.002278, T - t0 = 6.988848e-05; raw rates from axi3dlin_m1_x28_R257.log
fraction,sigma_Tt,sigma_raw,t,trans,sigma_perp_Tt
0.028946,0.188839,2.702000e+03,0.0022101345,,
0.057892,0.252158,3.608000e+03,0.0022121575,,
0.086838,0.305643,4.373300e+03,0.0022141805,,
0.115799,0.350742,5.018600e+03,0.0022162045,,
0.144802,0.389279,5.570000e+03,0.0022182315,,
