# base euler_x28: t0 = 0.002208111515, T = 0.002278, T - t0 = 6.988848e-05; raw rates from axi3dlin_m0_x28_N1024.log
fraction,sigma_Tt,sigma_raw,t,trans,sigma_perp_Tt
0.014480,0.384617,5.503300e+03,0.0022091235,,
0.028946,0.418073,5.982000e+03,0.0022101345,,
0.043426,0.444959,6.366700e+03,0.0022111465,,
0.057892,0.465667,6.663000e+03,0.0022121575,,
0.072372,0.480644,6.877300e+03,0.0022131695,,
0.086838,0.490401,7.016900e+03,0.0022141805,,
0.101319,0.495481,7.089600e+03,0.0022151925,,
0.115784,0.496453,7.103500e+03,0.0022162035,,
0.130265,0.493895,7.066900e+03,0.0022172155,,
0.144802,0.488381,6.988000e+03,0.0022182315,,
0.159254,0.480455,6.874600e+03,0.0022192415,,
0.173705,0.470671,6.734600e+03,0.0022202515,,
0.188157,0.459517,6.575000e+03,0.0022212615,,
0.202608,0.447475,6.402700e+03,0.0022222715,,
0.217060,0.434986,6.224000e+03,0.0022232815,,
0.231512,0.422441,6.044500e+03,0.0022242915,,
0.246106,0.410196,5.869300e+03,0.0022253115,,
0.260558,0.398574,5.703000e+03,0.0022263215,,
0.275010,0.387853,5.549600e+03,0.0022273315,,
0.289461,0.378257,5.412300e+03,0.0022283415,,
