# base euler_x28: t0 = 0.002208111515, T = 0.002278, T - t0 = 6.988848e-05; raw rates from axi3dlin_m0_x28_N2048.log
fraction,sigma_Tt,sigma_raw,t,trans,sigma_perp_Tt
0.014480,0.384995,5.508700e+03,0.0022091235,,
0.028946,0.418436,5.987200e+03,0.0022101345,,
0.043426,0.445322,6.371900e+03,0.0022111465,,
0.057892,0.466016,6.668000e+03,0.0022121575,,
0.072372,0.480980,6.882100e+03,0.0022131695,,
0.086838,0.490722,7.021500e+03,0.0022141805,,
0.101319,0.495789,7.094000e+03,0.0022151925,,
0.115784,0.496739,7.107600e+03,0.0022162035,,
0.130265,0.494161,7.070700e+03,0.0022172155,,
0.144802,0.488625,6.991500e+03,0.0022182315,,
0.159254,0.480679,6.877800e+03,0.0022192415,,
0.173705,0.470874,6.737500e+03,0.0022202515,,
0.188157,0.459698,6.577600e+03,0.0022212615,,
0.202608,0.447636,6.405000e+03,0.0022222715,,
0.217060,0.435119,6.225900e+03,0.0022232815,,
0.231512,0.422546,6.046000e+03,0.0022242915,,
0.246106,0.410273,5.870400e+03,0.0022253115,,
0.260558,0.398623,5.703700e+03,0.0022263215,,
0.275010,0.387867,5.549800e+03,0.0022273315,,
0.289461,0.378243,5.412100e+03,0.0022283415,,
