# base ns_x144: t0 = 0.002262022034, T = 0.0022865, T - t0 = 2.447797e-05; raw rates from axi3dlin_m1r_ns144_N1024.log
fraction,sigma_Tt,sigma_raw,t,trans,sigma_perp_Tt
0.013118,-0.060808,-2.484200e+03,0.0022623431,,
0.026236,0.141735,5.790300e+03,0.0022626642,,
0.039354,0.357868,1.462000e+04,0.0022629853,,
0.052455,0.564339,2.305500e+04,0.0022633060,,
0.065610,0.727216,2.970900e+04,0.0022636280,,
0.078724,0.847868,3.463800e+04,0.0022639490,,
0.091838,0.960564,3.924200e+04,0.0022642700,,
0.104952,1.078989,4.408000e+04,0.0022645910,,
0.118065,1.175799,4.803500e+04,0.0022649120,,
0.131179,1.243530,5.080200e+04,0.0022652330,,
0.144293,1.276379,5.214400e+04,0.0022655540,,
0.157407,1.287419,5.259500e+04,0.0022658750,,
0.170521,1.290429,5.271800e+04,0.0022661960,,
0.183635,1.272977,5.200500e+04,0.0022665170,,
0.196789,1.257702,5.138100e+04,0.0022668390,,
0.209903,1.263479,5.161700e+04,0.0022671600,,
0.223017,1.281226,5.234200e+04,0.0022674810,,
0.236131,1.301224,5.315900e+04,0.0022678020,,
0.249245,1.310305,5.353000e+04,0.0022681230,,
0.262358,1.311676,5.358600e+04,0.0022684440,,
